Keith Urban, Get Closer World Tour 2011, Key Arena, Seattle Center, Seattle, WA. September 29, 2011; keithurban_keyarena.htm; l; https://farm7.static.flickr.com/6132/6199522331_001e79ee37_m.jpg; keithurban_keyarena.jpg; 1490
Miranda Lambert, Puyallup Fair, Puyallup, WA. September 17th, 2011; mirandalambert.htm; l; local; mirandalambert.jpg; 1501
Pitbull, Samsung AT&T Summer Krush, Paramount Theatre, Seattle, WA. September 16, 2011; pitbull_summerkrush.htm; l; https://farm7.static.flickr.com/6162/6161027533_0cabc49edd_m.jpg; pitbull_summerkrush.jpg; 1502
Jubee and The Morning After, Samsung AT&T Summer Krush, Paramount Theatre, Seattle, WA. September 16, 2011; jubeeandthemorningafter.htm; l; https://farm7.static.flickr.com/6169/6168452082_717349e287_m.jpg; jubeeandthemorningafter.jpg; 1503
Train, Summer Tour 2011, Whiter River Amphitheatre, Auburn, WA. September 13, 2011; train.htm; l; https://farm7.static.flickr.com/6078/6152191324_f941e34b93_m.jpg; train.jpg; 1504
Maroon 5, Summer Tour 2011, Whiter River Amphitheatre, Auburn, WA. September 13, 2011; maroon5_whiteriver.htm; l; local; maroon5_whiteriver.jpg; 1505
Ke$ha, Get Sleazy Tour, Rose Garden, Portland, OR. September 11, 2011; kesha_rosegarden.htm; l; local; kesha_rosegarden.jpg; 1506
LMFAO, Ke$ha's Get Sleazy Tour, Rose Garden, Portland, OR. September 11, 2011; lmfao_rosegarden.htm; l; https://farm7.static.flickr.com/6084/6152182536_280b08a169_m.jpg; lmfao_rosegarden.jpg; 1507
Spank Rock, Ke$ha's Get Sleazy Tour, Rose Garden, Portland, OR. September 11, 2011; spankrock_rosegarden.htm; l; https://farm7.static.flickr.com/6199/6152178186_4de2f9475c_m.jpg; spankrock_rosegarden.jpg; 1508
Joe Nichols, Puyallup Fair, Puyallup, WA. September 9, 2011; joenichols_puyalup.htm; l; https://farm7.static.flickr.com/6156/6151517963_b018e379a8_m.jpg; joenichols_puyalup.jpg; 1509
Mark Chesnutt, Snoqualmie Casino, Snoqualmie, WA. September 8, 2011; markchesnutt.htm; l; https://farm7.static.flickr.com/6077/6151496651_50a9c67dd4_m.jpg; markchesnutt.jpg; 1510
Taylor Swift, Speak Now World Tour 2011, Tacoma Dome, Tacoma, WA. September 7, 2011; taylorswift.htm; l; local; taylorswift.jpg; 1511
NeedToBreathe, Taylor Swift's Speak Now World Tour 2011, Tacoma Dome, Tacoma, WA. September 7, 2011; needtobreathe.htm; l; local; needtobreathe.jpg; 1512
Josh Kelley, Taylor Swift's Speak Now World Tour 2011, Tacoma Dome, Tacoma, WA. September 7, 2011; joshkelley.htm; l; local; joshkelley.jpg; 1513
Lil Wayne, I Am Music Tour, White River Amphitheatre, Auburn, WA. September 4, 2011; lilwayne_white.htm; l; https://farm7.static.flickr.com/6199/6119106342_f4328477ba_m.jpg; lilwayne_white.jpg; 1514
Rick Ross, I Am Music Tour, White River Amphitheatre, Auburn, WA. September 4, 2011; rickross_white.htm; l; https://farm7.static.flickr.com/6082/6118545705_6199e1e1a4_m.jpg; rickross_white.jpg; 1515
Keri Hilson, I Am Music Tour, White River Amphitheatre, Auburn, WA. September 4, 2011; kerihilson_white.htm; p; https://farm7.static.flickr.com/6073/6118543865_5971970b5a_m.jpg; kerihilson_white.jpg; 1516
Far East Movement, I Am Music Tour, White River Amphitheatre, Auburn, WA. September 4, 2011; fareastmovement_white.htm; l; https://farm7.static.flickr.com/6196/6119086748_d3ac846f5c_m.jpg; fareastmovement_white.jpg; 1517
Lloyd, I Am Music Tour, White River Amphitheatre, Auburn, WA. September 4, 2011; lloyd_white.htm; l; https://farm7.static.flickr.com/6068/6119085100_5ec96e1ae0_m.jpg; lloyd_white.jpg; 1518
The Roots, Dave Matthews Band Caravan Tour, The Gorge Amphitheatre, George, WA, September 3, 2011; theroots_dmbcaravan.htm; l; https://farm7.static.flickr.com/6194/6118484137_a826682226_m.jpg; theroots_dmbcaravan.jpg; 1519
Warren Haynes Band, Dave Matthews Band Caravan Tour, The Gorge Amphitheatre, George, WA, September 3, 2011; warrenhaynes_dmbcaravan.htm; l; https://farm7.static.flickr.com/6079/6119032138_b856a5f57c_m.jpg; warrenhaynes_dmbcaravan.jpg; 1520
TR3, Dave Matthews Band Caravan Tour, The Gorge Amphitheatre, George, WA, September 3, 2011; tr3_dmbcaravan.htm; p; https://farm7.static.flickr.com/6070/6118485979_02a2bf20c3_m.jpg; tr3_dmbcaravan.jpg; 1521
The Silent Comedy, Dave Matthews Band Caravan Tour, The Gorge Amphitheatre, George, WA, September 3, 2011; thesilentcomedy_dmbcaravan.htm; l; https://farm7.static.flickr.com/6184/6119027196_3336fed2fd_m.jpg; thesilentcomedy_dmbcaravan.jpg; 1522
The Cave Singers, Dave Matthews Band Caravan Tour, The Gorge Amphitheatre, George, WA, September 3, 2011; thecavesingers_dmbcaravan.htm; p; https://farm7.static.flickr.com/6186/6118478743_12df4ede8a.jpg; thecavesingers_dmbcaravan.jpg; 1523
The Belle Brigade, Dave Matthews Band Caravan Tour, The Gorge Amphitheatre, George, WA, September 3, 2011; thebellebrigade_dmbcaravan.htm; l; https://farm7.static.flickr.com/6080/6118477179_9d49c7abdd_m.jpg; thebellebrigade_dmbcaravan.jpg; 1524
Lindsay Fuller, Dave Matthews Band Caravan Tour, The Gorge Amphitheatre, George, WA, September 3, 2011; lindsayfuller_dmbcaravan.htm; l; https://farm7.static.flickr.com/6186/6118475261_a8b8be2be1_m.jpg; lindsayfuller_dmbcaravan.jpg; 1525
Devotchka, Dave Matthews Band Caravan Tour, The Gorge Amphitheatre, George, WA, September 3, 2011; devotchka_dmbcaravan.htm; l; https://farm7.static.flickr.com/6072/6119018628_87c9972e77_m.jpg; devotchka_dmbcaravan.jpg; 1526
Dave Matthews Band, Dave Matthews Band Caravan Tour, The Gorge Amphitheatre, George, WA, September 2, 2011; davematthewsband_dmbcaravan.htm; l; local; davematthewsband_dmbcaravan.jpg; 1527
John Butler Trio, Dave Matthews Band Caravan Tour, The Gorge Amphitheatre, George, WA, September 2, 2011; johnbutlertrio_dmbcaravan.htm; l; https://farm7.static.flickr.com/6197/6118997028_0bb9d053fe_m.jpg; johnbutlertrio_dmbcaravan.jpg; 1528
Soja, Dave Matthews Band Caravan Tour, The Gorge Amphitheatre, George, WA, September 2, 2011; soja_dmbcaravan.htm; l; https://farm7.static.flickr.com/6192/6118458557_d94228fb03_m.jpg; soja_dmbcaravan.jpg; 1529
Lemolo, Dave Matthews Band Caravan Tour, The Gorge Amphitheatre, George, WA, September 2, 2011; lemolo_dmbcaravan.htm; l; https://farm7.static.flickr.com/6185/6119001266_8c4b577f12_m.jpg; lemolo_dmbcaravan.jpg; 1530
Kopecky Family Band, Dave Matthews Band Caravan Tour, The Gorge Amphitheatre, George, WA, September 2, 2011; kopeckyfamilyband_dmbcaravan.htm; l; https://farm7.static.flickr.com/6074/6118454063_b3deeac811_m.jpg; kopeckyfamilyband_dmbcaravan.jpg; 1531
Jenny O, Dave Matthews Band Caravan Tour, The Gorge Amphitheatre, George, WA, September 2, 2011; jennyo_dmbcaravan.htm; l; https://farm7.static.flickr.com/6195/6118993906_d7a6d31979_m.jpg; jennyo_dmbcaravan.jpg; 1532
Gogol Bordello, Dave Matthews Band Caravan Tour, The Gorge Amphitheatre, George, WA, September 2, 2011; gogolbordello_dmbcaravan.htm; l; https://farm7.static.flickr.com/6202/6118990148_d57a7df859_m.jpg; gogolbordello_dmbcaravan.jpg; 1533
Brett Dennen, Dave Matthews Band Caravan Tour, The Gorge Amphitheatre, George, WA, September 2, 2011; brettdennen_dmbcaravan.htm; l; https://farm7.static.flickr.com/6087/6118988742_67580c3ea2_m.jpg; brettdennen_dmbcaravan.jpg; 1534
Blind Pilot, Dave Matthews Band Caravan Tour, The Gorge Amphitheatre, George, WA, September 2, 2011; blindpilot_dmbcaravan.htm; l; https://farm7.static.flickr.com/6185/6118443189_1ff3384fdc_m.jpg; blindpilot_dmbcaravan.jpg; 1535
